Event	ID	Name			Wwise Object Path	Notes
	128625444	Door_Close			\Default Work Unit\SFX Events\Doors\Door_Close	
	271451359	Play_Enemy_Caution_Sounds			\Default Work Unit\SFX Events\Enemy\Play_Enemy_Caution_Sounds	
	278617630	Play_Ambience			\Default Work Unit\SFX Events\Ambience\Play_Ambience	
	377921503	Stop_Run_Heavy			\Default Work Unit\SFX Events\Stamina\Stop_Run_Heavy	
	523050301	Play_Lights_Power_On			\Default Work Unit\SFX Events\Lights\Play_Lights_Power_On	
	535830432	Door_Open			\Default Work Unit\SFX Events\Doors\Door_Open	
	1047608429	Start_Run			\Default Work Unit\SFX Events\Stamina\Start_Run	
	1225062921	Play_Lights_Power_Off			\Default Work Unit\SFX Events\Lights\Play_Lights_Power_Off	
	1238538214	Play_Ambient_Music			\Default Work Unit\Music Events\Play_Ambient_Music	
	1550503061	Death_Music			\Default Work Unit\Music Events\Death_Music	
	1602358412	Play_Footstep			\Default Work Unit\SFX Events\Footsteps\Play_Footstep	
	1708558952	Play_Enemy_Chase_Sounds			\Default Work Unit\SFX Events\Enemy\Play_Enemy_Chase_Sounds	
	2141040177	Stop_Run_Gentle			\Default Work Unit\SFX Events\Stamina\Stop_Run_Gentle	
	2477713992	Stop_Ambience			\Default Work Unit\SFX Events\Ambience\Stop_Ambience	
	3140010222	Stamina_Depleted			\Default Work Unit\SFX Events\Stamina\Stamina_Depleted	
	3237721180	Play_Chase_Music			\Default Work Unit\Music Events\Play_Chase_Music	
	3668695751	Play_Enemy_Footstep			\Default Work Unit\SFX Events\Enemy\Play_Enemy_Footstep	
	3793582191	Play_Enemy_Passive_Sounds			\Default Work Unit\SFX Events\Enemy\Play_Enemy_Passive_Sounds	

Switch Group	ID	Name			Wwise Object Path	Notes
	2384895876	Stamina_SwitchGroup			\Default Work Unit\SFX\Stamina_SwitchGroup	
	2636152114	Enemy_Footsteps_Switch			\Default Work Unit\SFX\Enemy\Enemy_Footsteps_Switch	
	3003400238	Footsteps_Movement_SwitchGroup			\Default Work Unit\SFX\Footsteps\Footsteps_Movement_SwitchGroup	
	3591549221	Footsteps_Surface_Type			\Default Work Unit\SFX\Footsteps\Footsteps_Surface_Type	

Switch	ID	Name	Switch Group			Notes
	137101767	Low_Stamina	Stamina_SwitchGroup			
	1086848559	Med_Stamina	Stamina_SwitchGroup			
	2215259642	Depleted_Stamina	Stamina_SwitchGroup			
	3010251139	High_Stamina	Stamina_SwitchGroup			
	2058049674	Wood	Enemy_Footsteps_Switch			
	2637588553	Tile	Enemy_Footsteps_Switch			
	340271938	Walking	Footsteps_Movement_SwitchGroup			
	499013305	Crouching	Footsteps_Movement_SwitchGroup			
	3863236874	Running	Footsteps_Movement_SwitchGroup			
	2058049674	Wood	Footsteps_Surface_Type			
	2637588553	Tile	Footsteps_Surface_Type			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1444042553	Danger_Warning			\Default Work Unit\Gameplay Parameters\Danger_Warning	
	1647820939	Stamina_Level			\Default Work Unit\Gameplay Parameters\Stamina_Level	
	2255146617	Footsteps_Movement_Type			\Default Work Unit\Gameplay Parameters\Footsteps\Footsteps_Movement_Type	
	3056858324	Num_of_Keys			\Default Work Unit\Gameplay Parameters\Num_of_Keys	
	3591549221	Footsteps_Surface_Type			\Default Work Unit\Gameplay Parameters\Footsteps\Footsteps_Surface_Type	
	3872528370	Enemy_Footsteps_Surface_Type			\Default Work Unit\Gameplay Parameters\Enemy\Enemy_Footsteps_Surface_Type	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	396463854	Enemy LFO 2			\Default Work Unit\Enemy LFO 2	
	550849548	EnemyLF0			\Default Work Unit\EnemyLF0	
	825176881	Ambience LFO			\Default Work Unit\Ambience LFO	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	
	3991942870	Music			\Default Work Unit\Master Audio Bus\Music	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	718557711	RvbZone_Tiled_Rooms			\Default Work Unit\Master Audio Bus\RvbZone_Tiled_Rooms	
	741810926	RvbZone_Large_Rooms			\Default Work Unit\Master Audio Bus\RvbZone_Large_Rooms	
	1037034650	RvbZone_Small_Rooms			\Default Work Unit\Master Audio Bus\RvbZone_Small_Rooms	
	1102545430	RvbZone_Narrow_Rooms			\Default Work Unit\Master Audio Bus\RvbZone_Narrow_Rooms	

Effect plug-ins	ID	Name	Type				Notes
	602546716	Room_Large	Wwise RoomVerb			
	1159390747	Room_Medium_Tiled	Wwise RoomVerb			
	1990128658	Room_Medium	Wwise RoomVerb			
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2812397	Enemy_fs_tile_2	Y:\Downloads\Test 2\.cache\Windows\SFX\Enemy_fs_tile_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Enemy Footstep Switch\Enemy Tile Footsteps\Enemy_fs_tile_2		234148
	7759912	tile_fs_run_4	Y:\Downloads\Test 2\.cache\Windows\SFX\tile_fs_run_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footstep Movement Type Switch\Running Footsteps\Tile Run\tile_fs_run_4		262336
	52955700	Passive_var_3	Y:\Downloads\Test 2\.cache\Windows\SFX\Passive_var_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Enemy Passive\Enemy Passive Variations\Passive_var_3		618676
	55846913	wood_fs_run_5	Y:\Downloads\Test 2\.cache\Windows\SFX\wood_fs_run_5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footstep Movement Type Switch\Running Footsteps\Wood Run\wood_fs_run_5		262336
	57717829	Depleted Stamina	Y:\Downloads\Test 2\.cache\Windows\SFX\Depleted_Stamina_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stamina\Depleted Stamina		1629268
	68107130	Caution_var_1	Y:\Downloads\Test 2\.cache\Windows\SFX\Caution_var_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Enemy Caution\Enemy Variations\Enemy Variations (Caution)\Caution_var_1		356532
	82711494	tile_fs_run_2	Y:\Downloads\Test 2\.cache\Windows\SFX\tile_fs_run_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footstep Movement Type Switch\Running Footsteps\Tile Run\tile_fs_run_2		262336
	116808690	Passive_var_4	Y:\Downloads\Test 2\.cache\Windows\SFX\Passive_var_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Enemy Passive\Enemy Passive Variations\Passive_var_4		1142964
	127938360	tile_fs_crouch_3	Y:\Downloads\Test 2\.cache\Windows\SFX\tile_fs_crouch_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footstep Movement Type Switch\Crouching Footsteps\Tile Crouch\tile_fs_crouch_3		262336
	144836465	Enemy Passive Loop	Y:\Downloads\Test 2\.cache\Windows\SFX\Passive_Loop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Enemy Passive\Enemy Passive Loop		4837324
	145789768	Lights_Power_Off_Test1	Y:\Downloads\Test 2\.cache\Windows\SFX\Lights_Power_Off_Test1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lights\Lights_Power_Off_Test1		1048720
	163613378	wood_fs_walk_3	Y:\Downloads\Test 2\.cache\Windows\SFX\wood_fs_walk_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footstep Movement Type Switch\Walking Footsteps\Wood Walk\wood_fs_walk_3		262336
	165245018	Enemy_fs_wood_1	Y:\Downloads\Test 2\.cache\Windows\SFX\Enemy_fs_wood_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy Sounds\Enemy Footstep Switch\Enemy Wood Footsteps\Enemy_fs_wood_1		496340
	170934507	wood_fs_crouch_5	Y:\Downloads\Test 2\.cache\Windows\SFX\wood_fs_crouch_5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footstep Movement Type Switch\Crouching Footsteps\Wood Crouch\wood_fs_crouch_5		262336
	178903615	High_Door_Open_1	Y:\Downloads\Test 2\.cache\Windows\SFX\High_Door_Open_1_EE57C8E1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Doors\Door Close\High Door Close\High_Door_Open_1		529392
	180724148	Med Stamina	Y:\Downloads\Test 2\.cache\Windows\SFX\Med_Stamina_Breathing_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Stamina\Heavy Breathing Switch\Med Stamina		1673692
